,children,days_employed,dob_years,education_id,family_status_id,gender,income_type,debt,total_income,purpose,total_income_category,purpose_category
0,1,8437.673027760233,42,0,0,f,сотрудник,0,253875,покупка жилья,B,операции с недвижимостью
1,1,4024.803753850451,36,1,0,f,сотрудник,0,112080,приобретение автомобиля,C,операции с автомобилем
2,0,5623.422610230956,33,1,0,m,сотрудник,0,145885,покупка жилья,C,операции с недвижимостью
3,3,4124.747206540018,32,1,0,m,сотрудник,0,267628,дополнительное образование,B,операции с недвижимостью
4,0,340266.07204682194,53,1,1,f,пенсионер,0,158616,сыграть свадьбу,C,операции с недвижимостью
5,0,926.1858308789184,27,0,1,m,компаньон,0,255763,покупка жилья,B,операции с недвижимостью
6,0,2879.202052139952,43,0,0,f,компаньон,0,240525,операции с жильем,B,операции с недвижимостью
7,0,152.7795691752705,50,1,0,m,сотрудник,0,135823,образование,C,операции с недвижимостью
8,2,6929.865298973741,35,0,1,f,сотрудник,0,95856,на проведение свадьбы,C,операции с недвижимостью
9,0,2188.7564450779378,41,1,0,m,сотрудник,0,144425,покупка жилья для семьи,C,операции с недвижимостью
10,2,4171.483646903305,36,0,0,m,компаньон,0,113943,покупка недвижимости,C,операции с недвижимостью
11,0,792.7018870609315,40,1,0,f,сотрудник,0,77069,покупка коммерческой недвижимости,C,операции с недвижимостью
12,0,1203.369528770489,65,1,1,m,пенсионер,0,145017,сыграть свадьбу,C,операции с недвижимостью
13,0,1846.6419410560736,54,2,0,f,сотрудник,0,130458,приобретение автомобиля,C,операции с автомобилем
14,0,1844.9561821875543,56,0,1,f,компаньон,1,165127,покупка жилой недвижимости,C,операции с недвижимостью
15,1,972.3644189900732,26,1,0,f,сотрудник,0,116820,строительство собственной недвижимости,C,операции с недвижимостью
16,0,1719.9342261530542,35,1,0,f,сотрудник,0,289202,недвижимость,B,операции с недвижимостью
17,0,2369.999720209008,33,0,1,m,сотрудник,0,90410,строительство недвижимости,C,операции с недвижимостью
18,0,400281.1369125588,53,1,2,f,пенсионер,0,56823,на покупку подержанного автомобиля,C,операции с автомобилем
19,0,10038.818548915877,48,1,3,f,сотрудник,0,242831,на покупку своего автомобиля,B,операции с автомобилем
20,1,1311.6041664289485,36,1,0,m,сотрудник,0,209552,недвижимость,B,операции с недвижимостью
21,1,253.68516578402495,33,1,1,f,сотрудник,0,131812,приобретение автомобиля,C,операции с автомобилем
22,1,1766.6441376815046,24,1,1,f,сотрудник,0,149681,на покупку подержанного автомобиля,C,операции с автомобилем
23,0,272.9813850334044,21,0,1,m,сотрудник,0,128265,сыграть свадьбу,C,операции с недвижимостью
24,1,338551.95291136915,57,1,4,f,пенсионер,0,290547,операции с коммерческой недвижимостью,B,операции с недвижимостью
25,0,363548.4893483957,67,1,0,m,пенсионер,0,55112,покупка недвижимости,C,операции с недвижимостью
26,0,1203.369528770489,41,1,0,m,госслужащий,0,145017,образование,C,операции с недвижимостью
27,0,529.1916346594236,28,0,0,m,сотрудник,0,308848,строительство собственной недвижимости,B,операции с недвижимостью
28,1,717.2743239418727,26,0,0,f,сотрудник,0,187863,строительство собственной недвижимости,C,операции с недвижимостью
29,0,1203.369528770489,63,1,4,f,пенсионер,0,145017,строительство жилой недвижимости,C,операции с недвижимостью
30,1,335581.6685149753,62,1,0,f,пенсионер,0,171456,операции с коммерческой недвижимостью,C,операции с недвижимостью
31,0,1682.08343808475,47,3,0,f,сотрудник,0,275485,жилье,B,операции с недвижимостью
32,0,4649.910831728614,34,1,1,f,сотрудник,1,139057,на проведение свадьбы,C,операции с недвижимостью
33,0,1548.63754364046,48,1,0,f,компаньон,0,157245,покупка жилья,C,операции с недвижимостью
34,0,4488.067031277062,35,1,0,f,сотрудник,0,104660,операции со своей недвижимостью,C,операции с недвижимостью
35,0,394021.0721837952,68,1,1,m,пенсионер,0,77805,на проведение свадьбы,C,операции с недвижимостью
36,0,176.21668833712155,33,1,4,m,сотрудник,0,138830,автомобили,C,операции с автомобилем
37,0,6448.810859676204,43,0,1,f,компаньон,0,154128,приобретение автомобиля,C,операции с автомобилем
38,0,597.8818273051091,25,0,4,m,сотрудник,1,192247,образование,C,операции с недвижимостью
39,0,650.5877964026586,31,0,1,f,компаньон,0,754240,заняться образованием,B,операции с недвижимостью
40,0,1030.3626056014652,30,1,4,m,компаньон,0,142865,покупка недвижимости,C,операции с недвижимостью
41,0,1203.369528770489,50,1,0,f,госслужащий,0,145017,сделка с подержанным автомобилем,C,операции с автомобилем
42,0,1257.4961901986044,20,2,4,f,сотрудник,0,82065,получение образования,C,операции с недвижимостью
43,0,4375.681384360526,43,2,3,f,компаньон,0,272957,приобретение автомобиля,B,операции с автомобилем
44,1,1362.0417275002387,26,1,0,f,сотрудник,0,100780,на покупку своего автомобиля,C,операции с автомобилем
45,1,1039.4517405766287,49,1,4,f,сотрудник,0,106385,заняться образованием,C,операции с недвижимостью
46,2,2262.712303593806,37,1,0,f,компаньон,0,182682,сделка с подержанным автомобилем,C,операции с автомобилем
47,1,2689.1372742032745,33,0,1,m,госслужащий,0,356277,на проведение свадьбы,B,операции с недвижимостью
48,0,3341.0678863600638,45,1,0,f,сотрудник,0,162065,строительство собственной недвижимости,C,операции с недвижимостью
